linha,endereco,sku,produto_planilha,quantidade,produto_match,origem_match,score,revisar
224,D07,GRILL5L,SEVENGEL GRILL 5L,14,SEVENGEL GRILL 5L,catalogo,100,
225,D07,STONE1L,SEVENGEL STONE LIMPA PEDRAS 1L E 5L,0,SEVENGEL STONE LIMPA PEDRA 1L,catalogo,78.9,
226,D07,MAGIC1L,SEVENGEL MAGIC 3 EM 1 1L E 5L,4,SEVENGEL MAGIC 3 EM 1 1L,catalogo,93.1,
227,D07,LPCANIL2L,SEVENGEL LIMPA CANIL 2L,124,SEVENGEL LIMPA CANIL LIM+ 2L,catalogo,94.8,
228,D07,,SEVENGEL LIMPA ESTOFADOS E PROTETOR DE VIDROS 500ML,0,SEVENGEL LIMPA ESTOFADOS E PROTETOR DE VIDROS 500ML,planilha,0,sim
229,D08,,"START MULTIUSO LIMÃO, LARANJA E BACTERICIDA",60,"START MULTIUSO LIMÃO, LARANJA E BACTERICIDA",planilha,0,sim
230,D09,HIGBALRET,HIGIENITA BALDE RETRATIL,11,HIGIENITA BALDE RETRATIL 10L,catalogo,100,
231,D10,FLOORCL1L,SEVENGEL FLOOR CLEAN 1L,112,RRGJ FLOOR CLEAN 1L,catalogo,75.8,sim
232,D10,GRILL1L,SEVENGEL GRILL 1L,22,SEVENGEL GRILL 1L,catalogo,100,
233,D10,CLEARON1L,SEVENGEL CLEARON 1L,137,SEVENGEL CLEARON 1L,catalogo,100,
234,D11,,START MULTIUSO TIRA LIMO E C/ÁLCOOL,31,START MULTIUSO TIRA LIMO E C/ÁLCOOL,planilha,0,sim
235,D11,,START MULTIUSO LIMPA VIDROS E KIT COZINHA,0,START MULTIUSO LIMPA VIDROS E KIT COZINHA,planilha,0,sim
236,D12,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,97,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
237,D13,LIMPCANIL5L,SEVENGEL LIMPA CANIL 5L,170,SEVENGEL LIMPA CANIL LIM+ 5L,catalogo,94.8,
238,D14,,"START MULTIUSO CITRONELA, ORIGINAL E FLORATA",215,"START MULTIUSO CITRONELA, ORIGINAL E FLORATA",planilha,0,sim
239,D15,,CRISTALCOPO POTES RETANGULARES,4,CRISTALCOPO POTES RETANGULARES,planilha,0,sim
240,D16,PED2L,START PEDREX 2L,0,START PEDREX 2L,catalogo,100,
241,D16,AZCLG1L,START CLORO EM GEL 1L,0,START AZULIM CLORO EM GEL 1L,catalogo,90.7,
242,D16,AZSPTRLM,START TIRA LIMO SPRAY 500ML,52,START AZULIM SPRAY TIRA LIMO 500ML,catalogo,79.8,
243,D17,,START LIMPA PORCELANATO LAVANDA E CITRUS 750ML,24,START LIMPA PORCELANATO LAVANDA E CITRUS 750ML,planilha,0,sim
244,D17,LPLAM750ML,START LIMPA LAMINADOS 750ML,264,START AZULIM LIMPA PISOS LAMINADOS 750ML,catalogo,87.4,
